R. Fitzpatrick,QB,Hou,10,3611,17.5,249,0.9,0,0,0,0,9.8
D. Rogers,WR,Ind,10,0,0,0,0,21.1,0.2,0,0,0
N. Washington,WR,Ten,9,0,0,0,0,773,2.9,0,0,0.3
B. Myers,TE,TB,7,0,0,0,0,274,1.8,0,0,0.1
J. Cotchery,WR,Car,12,0,0,0,0,597,4.2,0,0,0.5
J. Fauria,TE,Det,9,0,0,0,0,213,2.2,0,0,0.2
H. Douglas,WR,Atl,9,0,0,0,0,755,3.5,0,0,1.1
R. Streater,WR,Oak,5,0,0,21.9,0,745,3,0,0,0.9
S. Chandler,TE,Buf,9,0,0,0,0,510,2.6,0,0,0.7
E. Royal,WR,SD,10,0,0,25.1,0.1,380,2.4,185,0.3,0.2
Z. Miller,TE,Sea,4,0,0,0,0,342,3.5,0,0,0.3
J. Gresham,TE,Cin,4,0,0,0,0,331,2.3,0,0,1.1
B. Celek,TE,Eagles,7,0,0,0,0,308,2.8,0,0,0.3
B. Powell,RB,NYJ,11,0,0,253,2.1,147,0.4,0,0,0.7
N. Burleson,WR,Cle,4,0,0,0,0,394,1.7,0,0,0.6
J. Kerley,WR,NYJ,11,0,0,25.7,0.2,627,2.3,197,0.4,0.8
J. Cumberland,TE,NYJ,11,0,0,0,0,327,2.4,0,0,0.3
D. Clark,TE,Ind,10,0,0,0,0,0,0,0,0,0
M. Brown,WR,Bal,11,0,0,0,0,347,2.8,0,0,0.2
B. Rainey,RB,TB,7,0,0,323,2.8,115,0.3,32.5,0,1
K. Thompkins,WR,NE,10,0,0,0,0,150,1.2,0,0,0.2
S. Holmes,WR,Chi,11,0,0,0,0,120,0.9,0,0,0
M. Tolbert,RB,Car,12,0,0,222,3.3,181,0.7,0,0,0.5
L. Blount,RB,Pit,12,0,0,528,1.9,17.5,0,0,0,1.7
W. McGahee,RB,Cle,4,0,0,0,0,0,0,0,0,0
J. Rodgers,RB,Atl,9,0,0,170,1.1,354,1.4,91.2,0,0.8
A. Fasano,TE,KC,6,0,0,0,0,292,2.9,0,0,0.3
J. Locker,QB,Ten,9,3868,21.5,293,0.7,0,0,0,0,8.1
L. Hankerson,WR,Was,10,0,0,0,0,58.5,0.4,0,0,0.1
S. Rice,WR,Sea,4,0,0,0,0,0,0,0,0,0
K. Winslow,TE,NYJ,11,0,0,0,0,0,0,0,0,0
P. Hillis,RB,NYG,8,0,0,213,1.5,181,0.4,0,0,1.3
B. Pettigrew,TE,Det,9,0,0,0,0,383,2.5,0,0,0.5
D. Thomas,RB,Mia,5,0,0,170,2,32.9,0.2,0,0,0.3
L. Kendricks,TE,StL,4,0,0,0,0,252,2,0,0,0.3
J. Jones,WR,Bal,11,0,0,12.8,0,205,1.1,1323,1.2,0.2
R. Housler,TE,Ari,4,0,0,0,0,214,1.3,0,0,0.2
B. Bolden,RB,NE,10,0,0,198,2.5,38.4,0.2,0,0,0.3
D. Avery,WR,KC,6,0,0,10.3,0,649,2.8,0,0,0.7
L. Moore,WR,Pit,12,0,0,0,0,497,2.9,0,0,0.3
A. Williams,RB,NYG,8,0,0,560,4.6,71.2,0.2,0,0,1.8
C. Michael,RB,Sea,4,0,0,272,1.9,26.4,0.2,0,0,0.8
R. Hillman,RB,Den,4,0,0,383,1.8,135,0.7,0,0,2.4
K. Britt,WR,StL,4,0,0,0,0,833,5.3,0,0,1.3
A. Holmes,WR,Oak,5,0,0,0,0,728,4.5,0,0,0.7
A. Hawkins,WR,Cle,4,0,0,22.9,0.1,709,3,0,0,1.1
C. Polk,RB,Eagles,7,0,0,311,2.7,32.1,0.2,0,0,1
J. Grimes,RB,Hou,10,0,0,282,2,102,0.3,0,0,1.2
B. Brown,RB,Buf,9,0,0,214,1.1,32.8,0.2,0,0,0.3
L. Dunbar,RB,Dal,11,0,0,445,2.6,289,1,0,0,1.8
T. Underwood,WR,Car,12,0,0,11,0,37.5,0.2,0,0,0
